model_id,chunk_tokens,sequence_length,phase,mode,family,chunk_index,token_index,layer_index,atom_index,trace_interval_index,start_time_ms,end_time_ms,duration_ms
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,0.0,,0,0,0,106695263.054431,106695263.202911,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,0.0,,0,1,0,106695263.202911,106695263.351391,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,0.0,,0,2,0,106695263.351391,106695263.499871,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,0.0,,0,3,0,106695263.499871,106695263.648351,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,0.0,,0,4,0,106695263.648351,106695263.796831,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,0.0,,0,5,0,106695263.796831,106695263.945311,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,0.0,,1,0,0,106695263.945311,106695264.093791,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,0.0,,1,1,0,106695264.093791,106695264.24227099,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,0.0,,1,2,0,106695264.24227099,106695264.39075099,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,0.0,,1,3,0,106695264.39075099,106695264.53923099,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,0.0,,1,4,0,106695264.53923099,106695264.68771099,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,0.0,,1,5,0,106695264.68771099,106695264.83619098,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,0.0,,2,0,0,106695264.83619098,106695264.98467098,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,0.0,,2,1,0,106695264.98467098,106695265.13315098,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,0.0,,2,2,0,106695265.13315098,106695265.28163098,0.14847999811172485
