schema_version,experiment_type,scheduler,model_id,chunk_tokens,sequence_length,weight_bytes,vram_ceiling_bytes,prefill_max_gemm_us,prefill_workspace_bytes,prefill_parked_activation_bytes,decode_max_gemv_us,attention_fetch_compute_us,reduction_overhead_us,pcie_exposed_us,survival_vram_bytes,decode_runway_bytes,decode_runway_tokens,ttft_ms,tpot_ms_vram,tpot_ms_pcie_async,trace_sha256,status,sm_ai_partitions_profiled,trace_sm_ran_tiers,trace_interval_count,trace_intervals_with_ai_budget,prefill_max_gemm_us_sm8,prefill_max_gemm_us_sm16,prefill_max_gemm_us_sm24,prefill_max_gemm_us_sm32,prefill_workspace_bytes_sm8,prefill_workspace_bytes_sm16,prefill_workspace_bytes_sm24,prefill_workspace_bytes_sm32,prefill_parked_activation_bytes_sm8,prefill_parked_activation_bytes_sm16,prefill_parked_activation_bytes_sm24,prefill_parked_activation_bytes_sm32,decode_max_gemv_us_vram_sm8,decode_max_gemv_us_vram_sm16,decode_max_gemv_us_vram_sm24,decode_max_gemv_us_vram_sm32,decode_max_gemv_us_pcie_async_sm8,decode_max_gemv_us_pcie_async_sm16,decode_max_gemv_us_pcie_async_sm24,decode_max_gemv_us_pcie_async_sm32,attention_fetch_compute_us_vram_sm8,attention_fetch_compute_us_vram_sm16,attention_fetch_compute_us_vram_sm24,attention_fetch_compute_us_vram_sm32,attention_fetch_compute_us_pcie_async_sm8,attention_fetch_compute_us_pcie_async_sm16,attention_fetch_compute_us_pcie_async_sm24,attention_fetch_compute_us_pcie_async_sm32,reduction_overhead_us_vram_sm8,reduction_overhead_us_vram_sm16,reduction_overhead_us_vram_sm24,reduction_overhead_us_vram_sm32,reduction_overhead_us_pcie_async_sm8,reduction_overhead_us_pcie_async_sm16,reduction_overhead_us_pcie_async_sm24,reduction_overhead_us_pcie_async_sm32,decode_workspace_bytes_vram_sm8,decode_workspace_bytes_vram_sm16,decode_workspace_bytes_vram_sm24,decode_workspace_bytes_vram_sm32,decode_workspace_bytes_pcie_async_sm8,decode_workspace_bytes_pcie_async_sm16,decode_workspace_bytes_pcie_async_sm24,decode_workspace_bytes_pcie_async_sm32,decode_parked_activation_bytes_vram_sm8,decode_parked_activation_bytes_vram_sm16,decode_parked_activation_bytes_vram_sm24,decode_parked_activation_bytes_vram_sm32,decode_parked_activation_bytes_pcie_async_sm8,decode_parked_activation_bytes_pcie_async_sm16,decode_parked_activation_bytes_pcie_async_sm24,decode_parked_activation_bytes_pcie_async_sm32,prefill_telemetry_tier,prefill_telemetry_provider,prefill_telemetry_status,prefill_nvml_available,prefill_gpu_util,prefill_gpu_mem_used_mb,prefill_sm_clock_mhz,prefill_mem_clock_mhz,prefill_power_w,prefill_pt_step_ms,prefill_pt_mem_alloc_mb,prefill_pt_mem_reserved_mb,prefill_pt_workspace_mb,prefill_acu_pct,prefill_gbu_pct,prefill_smu_pct,prefill_microscopic_telemetry_status,prefill_microscopic_error,decode_vram_telemetry_tier,decode_vram_telemetry_provider,decode_vram_telemetry_status,decode_vram_nvml_available,decode_vram_gpu_util,decode_vram_gpu_mem_used_mb,decode_vram_sm_clock_mhz,decode_vram_mem_clock_mhz,decode_vram_power_w,decode_vram_pt_step_ms,decode_vram_pt_mem_alloc_mb,decode_vram_pt_mem_reserved_mb,decode_vram_pt_workspace_mb,decode_vram_acu_pct,decode_vram_gbu_pct,decode_vram_smu_pct,decode_vram_microscopic_telemetry_status,decode_vram_microscopic_error,decode_pcie_async_telemetry_tier,decode_pcie_async_telemetry_provider,decode_pcie_async_telemetry_status,decode_pcie_async_nvml_available,decode_pcie_async_gpu_util,decode_pcie_async_gpu_mem_used_mb,decode_pcie_async_sm_clock_mhz,decode_pcie_async_mem_clock_mhz,decode_pcie_async_power_w,decode_pcie_async_pt_step_ms,decode_pcie_async_pt_mem_alloc_mb,decode_pcie_async_pt_mem_reserved_mb,decode_pcie_async_pt_workspace_mb,decode_pcie_async_acu_pct,decode_pcie_async_gbu_pct,decode_pcie_async_smu_pct,decode_pcie_async_microscopic_telemetry_status,decode_pcie_async_microscopic_error,pcie_telemetry_tier,pcie_telemetry_provider,pcie_telemetry_status,pcie_nvml_available,pcie_gpu_util,pcie_gpu_mem_used_mb,pcie_sm_clock_mhz,pcie_mem_clock_mhz,pcie_power_w,pcie_pt_step_ms,pcie_pt_mem_alloc_mb,pcie_pt_mem_reserved_mb,pcie_pt_workspace_mb,pcie_acu_pct,pcie_gbu_pct,pcie_smu_pct,pcie_microscopic_telemetry_status,pcie_microscopic_error,pcie_effective_gbps,pcie_overlap_status
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-125m,64,1024,250478592,15170115993,434.1759979724884,393216,393216,643.0720090866089,7011.532688140869,2819.5839881896973,299.8527526855469,14918850969,14917231513,404655,500.170715495944,38.623181104660034,98.64037585258484,1b182cff87478bda47a607dc15196246e35a41e97a9ebbdf4ba97cd1ede50490,success,8|16|24|32,8|16|24|32|40|48,28378,24205,150.52799880504608,136.09600067138672,117.7920028567314,108.5439994931221,393216,393216,393216,393216,393216,393216,393216,393216,130.2720010280609,150.52799880504608,147.45600521564484,140.3840035200119,139.3280029296875,181.2479943037033,148.6400067806244,160.76800227165222,1736.4799976348877,1717.523217201233,1766.643214225769,1717.2160148620603,1722.380805015564,1729.203200340271,1790.3680086135864,1752.8831720352173,670.2719926834106,682.1184039115906,681.7407965660095,659.0783834457397,675.0336050987244,648.8319993019104,702.6432037353516,704.8959970474243,45056,45056,45056,45056,45056,45056,45056,45056,1536,1536,1536,1536,1536,1536,1536,1536,baseline_nvml_pt,nvidia-smi,ok,True,0.5,7.0,1695.0,7601.0,62.165,0.12824000045657152,23.76318359375,23.76318359375,0.375,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,1.75,7.0,1695.0,7701.0,64.255,1.7615360021591187,24.69189453125,24.69189453125,0.04296875,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.0,7.0,1695.0,7801.0,61.425000000000004,1.7966079711914062,24.69189453125,24.69189453125,0.04296875,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,7.0,1695.0,7601.0,67.02,,,,,65.0,65.0,65.0,estimated,,0.6249745711038707,measured
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-125m,64,2048,250478592,15170115993,434.1759979724884,393216,393216,708.6079716682434,18548.27537536621,5305.011177062988,299.8527526855469,14918850969,14917190553,404654,500.170715495944,84.31480300426483,184.32728040218353,1b182cff87478bda47a607dc15196246e35a41e97a9ebbdf4ba97cd1ede50490,success,8|16|24|32,8|16|24|32|40|48,28378,24205,150.52799880504608,136.09600067138672,117.7920028567314,108.5439994931221,393216,393216,393216,393216,393216,393216,393216,393216,141.31200313568115,140.35199582576752,144.3839967250824,177.15199291706085,137.9839926958084,176.12800002098083,139.23199474811554,146.33600413799286,3676.377582550049,4145.478439331055,4158.630418777466,4637.068843841553,3660.15362739563,3731.763172149658,4046.041631698608,3687.321615219116,1264.0255689620972,1169.708800315857,1259.5072269439695,1326.252794265747,1255.462384223938,1192.9535627365112,1175.5200147628786,1199.9807834625244,86016,86016,86016,86016,86016,86016,86016,86016,1536,1536,1536,1536,1536,1536,1536,1536,baseline_nvml_pt,nvidia-smi,ok,True,0.5,7.0,1695.0,7601.0,62.165,0.12824000045657152,23.76318359375,23.76318359375,0.375,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,2.5,7.0,1695.0,7701.0,66.315,7.076280117034912,28.23095703125,28.23095703125,0.08203125,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.25,7.0,1695.0,7701.0,66.44500000000001,5.4279680252075195,28.23095703125,28.23095703125,0.08203125,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,7.0,1695.0,7601.0,67.02,,,,,65.0,65.0,65.0,estimated,,0.6249745711038707,measured
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-125m,64,4096,250478592,15170115993,434.1759979724884,393216,393216,585.6000185012817,26658.278274536133,9181.54239654541,299.8527526855469,14918850969,14917108633,404652,500.170715495944,116.59154069423676,347.99236446619034,1b182cff87478bda47a607dc15196246e35a41e97a9ebbdf4ba97cd1ede50490,success,8|16|24|32,8|16|24|32|40|48,28378,24205,150.52799880504608,136.09600067138672,117.7920028567314,108.5439994931221,393216,393216,393216,393216,393216,393216,393216,393216,154.4959992170334,349.1840064525604,177.15199291706085,146.40000462532043,137.2160017490387,140.28799533843994,122.8799968957901,141.4719969034195,6623.744010925293,6546.252727508545,6742.57287979126,6595.603275299072,6592.275142669678,6675.814342498779,6585.728073120117,6664.569568634033,2271.244764328003,2333.855962753296,2267.9680347442627,2241.958427429199,2302.7392387390137,2203.5520553588867,2284.326410293579,2295.3855991363525,167936,167936,167936,167936,167936,167936,167936,167936,1536,1536,1536,1536,1536,1536,1536,1536,baseline_nvml_pt,nvidia-smi,ok,True,0.5,7.0,1695.0,7601.0,62.165,0.12824000045657152,23.76318359375,23.76318359375,0.375,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.0,7.0,1695.0,7601.0,66.535,6.780184030532837,34.30908203125,34.30908203125,0.16015625,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,2.25,7.0,1695.0,7701.0,63.32249999999999,6.7925920486450195,34.30908203125,34.30908203125,0.16015625,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,7.0,1695.0,7601.0,67.02,,,,,65.0,65.0,65.0,estimated,,0.6249745711038707,measured
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-125m,64,8192,250478592,15170115993,434.1759979724884,393216,393216,585.6000185012817,54104.93469238281,18695.833587646484,299.8527526855469,14918850969,14916944793,404648,500.170715495944,227.37838071584702,688.7550839781761,1b182cff87478bda47a607dc15196246e35a41e97a9ebbdf4ba97cd1ede50490,success,8|16|24|32,8|16|24|32|40|48,28378,24205,150.52799880504608,136.09600067138672,117.7920028567314,108.5439994931221,393216,393216,393216,393216,393216,393216,393216,393216,150.30400454998016,149.50400590896606,165.8879965543747,136.4160031080246,141.15199446678162,166.87999665737152,178.27199399471283,146.40000462532043,12890.265655517578,12897.90096282959,13512.652778625488,13526.233673095703,13208.543968200684,13822.956466674805,13507.212829589844,13462.745475769045,4446.630382537842,4455.033683776856,4635.180759429932,4603.468704223633,4478.207969665527,4883.865547180176,4838.182353973389,4673.958396911621,331776,331776,331776,331776,331776,331776,331776,331776,1536,1536,1536,1536,1536,1536,1536,1536,baseline_nvml_pt,nvidia-smi,ok,True,0.5,7.0,1695.0,7601.0,62.165,0.12824000045657152,23.76318359375,23.76318359375,0.375,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,5.0,7.0,1695.0,7601.0,66.51,13.539095878601074,45.96533203125,45.96533203125,0.31640625,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,11.5,7.0,1695.0,7601.0,66.56,13.78438401222229,45.96533203125,45.96533203125,0.31640625,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,7.0,1695.0,7601.0,67.02,,,,,65.0,65.0,65.0,estimated,,0.6249745711038707,measured
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-125m,128,1024,250478592,15170115993,545.5359816551208,786432,786432,630.7839751243591,3756.9023609161377,1714.6368026733398,1662.6559138297962,14918064537,14914886553,404592,314.2287254333496,26.348006665706635,187.38369727134705,1b182cff87478bda47a607dc15196246e35a41e97a9ebbdf4ba97cd1ede50490,success,8|16|24|32,8|16|24|32|40|48,28378,24205,106.49599879980089,117.76000261306764,154.84799444675446,136.3839954137802,786432,786432,786432,786432,786432,786432,786432,786432,140.35199582576752,158.75199437141418,344.0639972686768,143.36000382900238,151.5520066022873,171.00800573825836,136.19199395179749,157.69599378108978,990.98881483078,924.9088048934937,1100.0,913.1839990615844,921.2543964385986,951.5008091926576,932.6527953147888,939.2255902290344,396.4672088623047,422.3487973213196,518.3360040187836,422.323203086853,455.8528006076813,452.3455917835236,401.1839926242829,428.65920066833496,30720,30720,30720,30720,30720,30720,30720,30720,1536,1536,1536,1536,1536,1536,1536,1536,baseline_nvml_pt,nvidia-smi,ok,True,0.25,7.0,1695.0,7601.0,62.997499999999995,0.12887199781835074,24.88818359375,24.88818359375,0.75,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,1.75,7.0,1695.0,7701.0,65.8575,1.0654799938201904,24.67626953125,24.67626953125,0.029296875,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,1.75,7.0,1695.0,7601.0,65.89250000000001,0.9445840120315552,24.67626953125,24.67626953125,0.029296875,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,7.0,1695.0,7601.0,66.31,,,,,65.0,65.0,65.0,estimated,,1.0008144508578032,measured
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-125m,128,2048,250478592,15170115993,545.5359816551208,786432,786432,668.287992477417,12789.478397369385,6489.4209384918195,1662.6559138297962,14918064537,14914866073,404591,314.2287254333496,38.94712311029434,389.09581857919693,1b182cff87478bda47a607dc15196246e35a41e97a9ebbdf4ba97cd1ede50490,success,8|16|24|32,8|16|24|32|40|48,28378,24205,106.49599879980089,117.76000261306764,154.84799444675446,136.3839954137802,786432,786432,786432,786432,786432,786432,786432,786432,135.16800105571747,147.23199605941772,135.29600203037262,143.2960033416748,173.0560064315796,150.52799880504608,134.33599472045898,167.07199811935425,1756.006407737732,1761.6447687149048,1727.667212486267,1716.601586341858,1845.21598815918,1742.2207832336426,1713.593602180481,3197.369599342346,682.8671932220459,701.3824105262756,677.9327988624573,669.215989112854,756.5119981765747,666.9887900352478,687.9295825958252,1622.355234622955,51200,51200,51200,51200,51200,51200,51200,51200,1536,1536,1536,1536,1536,1536,1536,1536,baseline_nvml_pt,nvidia-smi,ok,True,0.25,7.0,1695.0,7601.0,62.997499999999995,0.12887199781835074,24.88818359375,24.88818359375,0.75,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.25,7.0,1695.0,7601.0,60.730000000000004,1.795335978269577,28.19580078125,28.19580078125,0.048828125,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,2.25,7.0,1695.0,7601.0,63.6575,2.7865120470523834,28.19580078125,28.19580078125,0.048828125,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,7.0,1695.0,7601.0,66.31,,,,,65.0,65.0,65.0,estimated,,1.0008144508578032,measured
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-125m,128,4096,250478592,15170115993,545.5359816551208,786432,786432,659.3279838562012,16330.675315856934,5156.76155090332,1662.6559138297962,14918064537,14914825113,404590,314.2287254333496,72.74019813537598,713.0969552993774,1b182cff87478bda47a607dc15196246e35a41e97a9ebbdf4ba97cd1ede50490,success,8|16|24|32,8|16|24|32|40|48,28378,24205,106.49599879980089,117.76000261306764,154.84799444675446,136.3839954137802,786432,786432,786432,786432,786432,786432,786432,786432,161.79199516773224,200.7039934396744,676.8640279769897,164.8319959640503,182.2720021009445,271.36000990867615,150.52799880504608,150.52799880504608,3843.673658370972,4304.275226593018,3998.809576034546,3783.500814437866,4183.039999008179,4161.299180984497,4028.006458282471,4082.6688289642334,1369.8559999465942,1300.6207942962646,1461.894392967224,1289.19038772583,1297.1904039382937,1443.4880018234253,1191.449594497681,1233.9200258255005,92160,92160,92160,92160,92160,92160,92160,92160,1536,1536,1536,1536,1536,1536,1536,1536,baseline_nvml_pt,nvidia-smi,ok,True,0.25,7.0,1695.0,7601.0,62.997499999999995,0.12887199781835074,24.88818359375,24.88818359375,0.75,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.5,7.0,1695.0,7601.0,65.90499999999999,5.993200063705444,34.23486328125,34.23486328125,0.087890625,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.5,7.0,1695.0,7601.0,65.765,7.042816162109375,34.23486328125,34.23486328125,0.087890625,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,7.0,1695.0,7601.0,66.31,,,,,65.0,65.0,65.0,estimated,,1.0008144508578032,measured
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-125m,128,8192,250478592,15170115993,545.5359816551208,786432,786432,589.8240208625793,27567.9744720459,9845.683097839355,1662.6559138297962,14918064537,14914743193,404588,314.2287254333496,121.89934015274048,1393.024143397808,1b182cff87478bda47a607dc15196246e35a41e97a9ebbdf4ba97cd1ede50490,success,8|16|24|32,8|16|24|32|40|48,28378,24205,106.49599879980089,117.76000261306764,154.84799444675446,136.3839954137802,786432,786432,786432,786432,786432,786432,786432,786432,130.048006772995,131.071999669075,147.45600521564484,134.14399325847626,146.30399644374847,175.10400712490082,131.8719983100891,147.45600521564484,6498.790264129639,6643.046474456787,6700.179195404053,6891.993618011475,6688.160037994385,6679.750442504883,6502.060794830322,6503.372764587402,2214.758348464966,2381.7471981048584,2405.171155929565,2461.420774459839,2323.6607551574707,2429.91361618042,2260.294342041016,2287.2576236724854,174080,174080,174080,174080,174080,174080,174080,174080,1536,1536,1536,1536,1536,1536,1536,1536,baseline_nvml_pt,nvidia-smi,ok,True,0.25,7.0,1695.0,7601.0,62.997499999999995,0.12887199781835074,24.88818359375,24.88818359375,0.75,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,1.75,7.0,1695.0,7701.0,64.2875,6.894592046737671,45.81298828125,45.81298828125,0.166015625,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.0,7.0,1695.0,7701.0,66.93249999999999,6.724832057952881,45.81298828125,45.81298828125,0.166015625,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,7.0,1695.0,7601.0,66.31,,,,,65.0,65.0,65.0,estimated,,1.0008144508578032,measured
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-125m,256,1024,250478592,15170115993,348.54400157928467,1572864,1572864,598.0160236358643,2016.7936563491821,1152.6912212371826,1000.835531949997,14916491673,14910165913,404464,100.38067245483398,19.31059169769287,68.31284898519516,1b182cff87478bda47a607dc15196246e35a41e97a9ebbdf4ba97cd1ede50490,success,8|16|24|32,8|16|24|32|40|48,28378,24205,320.3519880771637,90.11200070381165,94.40000355243684,87.13600039482117,1572864,1572864,1572864,1572864,1572864,1572864,1572864,1572864,144.3839967250824,174.0799993276596,146.43199741840365,140.28799533843994,145.6959992647171,154.6880006790161,168.96000504493713,149.50400590896606,498.8928079605103,490.5791997909546,511.5776121616364,494.30400133132935,509.95200276374817,518.1375980377197,502.374404668808,504.19841408729553,270.33600211143494,267.1231985092163,323.1680035591125,273.1839954853058,269.07520294189453,297.9968011379242,281.5936028957367,288.17280530929565,32768,32768,32768,32768,32768,32768,32768,32768,1536,1536,1536,1536,1536,1536,1536,1536,baseline_nvml_pt,nvidia-smi,ok,True,1.0,7.0,1695.0,7701.0,63.6925,0.14799999818205828,27.13818359375,27.13818359375,1.5,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,1.25,7.0,1695.0,7701.0,63.1075,0.5191760137677193,24.67822265625,24.67822265625,0.03125,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,1.0,7.0,1695.0,7601.0,66.045,0.5238000154495239,24.67822265625,24.67822265625,0.03125,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,4.0,7.0,1695.0,7601.0,66.8,,,,,65.0,65.0,65.0,estimated,,1.3356521780774817,measured
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-125m,256,2048,250478592,15170115993,348.54400157928467,1572864,1572864,1175.5520105361938,3829.683208465576,1732.6336145401,1000.835531949997,14916491673,14910155673,404463,100.38067245483398,37.37640970945358,123.6051778793335,1b182cff87478bda47a607dc15196246e35a41e97a9ebbdf4ba97cd1ede50490,success,8|16|24|32,8|16|24|32|40|48,28378,24205,320.3519880771637,90.11200070381165,94.40000355243684,87.13600039482117,1572864,1572864,1572864,1572864,1572864,1572864,1572864,1572864,155.90399503707886,144.3839967250824,139.42399621009827,293.88800263404846,162.81600296497345,152.8320014476776,152.319997549057,150.52799880504608,965.2544140815736,924.5952129364014,932.8767895698549,938.2399916648864,934.771192073822,934.5216035842896,931.99360370636,957.420802116394,451.75039768218994,416.7104005813599,409.2607975006104,413.1328046321869,389.4912004470825,421.2287962436676,420.2432036399841,433.158403635025,43008,43008,43008,43008,43008,43008,43008,43008,1536,1536,1536,1536,1536,1536,1536,1536,baseline_nvml_pt,nvidia-smi,ok,True,1.0,7.0,1695.0,7701.0,63.6925,0.14799999818205828,27.13818359375,27.13818359375,1.5,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.0,7.0,1695.0,7601.0,61.667500000000004,0.9604720026254654,28.18798828125,28.18798828125,0.041015625,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,1.5,7.0,1695.0,7601.0,63.16499999999999,0.9753279983997345,28.18798828125,28.18798828125,0.041015625,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,4.0,7.0,1695.0,7601.0,66.8,,,,,65.0,65.0,65.0,estimated,,1.3356521780774817,measured
