model_id,sequence_length,block_size,op_type,op_name,sm_ai_partition,timed_iteration,duration_us,baseline_vram_bytes,peak_vram_bytes,dynamic_workspace_bytes,output_bytes,decode_mode,telemetry_ts,telemetry_tier,telemetry_provider,telemetry_status,gpu_util,gpu_mem_used_mb,sm_clock_mhz,mem_clock_mhz,power_w,pt_step_ms,pt_mem_alloc_mb,pt_mem_reserved_mb,pt_workspace_mb,nvml_available,sampling_error,acu_pct,gbu_pct,smu_pct,microscopic_telemetry_status,microscopic_error,point_id,public_status,failure_kind,failure_cause,raw_output_path
facebook/opt-125m,1024,64,gemv,q_proj,8,0,130.2720010280609,25844224,25845760,1536,1536,vram,2026-04-14T11:54:30Z,baseline_nvml_pt,nvidia-smi,ok,7.0,7.0,1695.0,8001.0,64.97,1.7764159440994263,24.69189453125,24.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g0-opt125m/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
facebook/opt-125m,1024,64,gemv,k_proj,8,0,110.59200018644333,25844224,25845760,1536,1536,vram,2026-04-14T11:54:30Z,baseline_nvml_pt,nvidia-smi,ok,7.0,7.0,1695.0,8001.0,64.97,1.7764159440994263,24.69189453125,24.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g0-opt125m/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
facebook/opt-125m,1024,64,gemv,v_proj,8,0,86.01599931716919,25844224,25845760,1536,1536,vram,2026-04-14T11:54:30Z,baseline_nvml_pt,nvidia-smi,ok,7.0,7.0,1695.0,8001.0,64.97,1.7764159440994263,24.69189453125,24.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g0-opt125m/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
facebook/opt-125m,1024,64,gemv,out_proj,8,0,85.7279971241951,25844224,25845760,1536,1536,vram,2026-04-14T11:54:30Z,baseline_nvml_pt,nvidia-smi,ok,7.0,7.0,1695.0,8001.0,64.97,1.7764159440994263,24.69189453125,24.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g0-opt125m/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
facebook/opt-125m,1024,64,gemv,fc1,8,0,87.0399996638298,25844224,25850368,6144,6144,vram,2026-04-14T11:54:30Z,baseline_nvml_pt,nvidia-smi,ok,7.0,7.0,1695.0,8001.0,64.97,1.7764159440994263,24.69189453125,24.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g0-opt125m/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
facebook/opt-125m,1024,64,gemv,fc2,8,0,78.62400263547897,25844224,25845760,1536,1536,vram,2026-04-14T11:54:30Z,baseline_nvml_pt,nvidia-smi,ok,7.0,7.0,1695.0,8001.0,64.97,1.7764159440994263,24.69189453125,24.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g0-opt125m/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
facebook/opt-125m,1024,64,attention_fetch_compute,,8,0,1742.8480386734009,25844224,25889280,45056,25344,vram,2026-04-14T11:54:30Z,baseline_nvml_pt,nvidia-smi,ok,7.0,7.0,1695.0,8001.0,64.97,1.7764159440994263,24.69189453125,24.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g0-opt125m/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
facebook/opt-125m,1024,64,reduction_overhead,,8,0,681.984007358551,25885184,25891328,6144,1536,vram,2026-04-14T11:54:30Z,baseline_nvml_pt,nvidia-smi,ok,7.0,7.0,1695.0,8001.0,64.97,1.7764159440994263,24.69189453125,24.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g0-opt125m/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
facebook/opt-125m,1024,64,gemv,q_proj,8,1,84.99199897050858,25844224,25845760,1536,1536,vram,2026-04-14T11:54:30Z,baseline_nvml_pt,nvidia-smi,ok,7.0,7.0,1695.0,8001.0,64.97,1.7764159440994263,24.69189453125,24.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g0-opt125m/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
facebook/opt-125m,1024,64,gemv,k_proj,8,1,83.90399813652039,25844224,25845760,1536,1536,vram,2026-04-14T11:54:30Z,baseline_nvml_pt,nvidia-smi,ok,7.0,7.0,1695.0,8001.0,64.97,1.7764159440994263,24.69189453125,24.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g0-opt125m/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
