model_id,sequence_length,block_size,sm_ai_partition,decode_mode,decode_max_gemv_us,attention_fetch_compute_us,reduction_overhead_us,decode_workspace_bytes,decode_parked_activation_bytes,telemetry_tier,telemetry_provider,telemetry_status,nvml_available,gpu_util,gpu_mem_used_mb,sm_clock_mhz,mem_clock_mhz,power_w,pt_step_ms,pt_mem_alloc_mb,pt_mem_reserved_mb,pt_workspace_mb,acu_pct,gbu_pct,smu_pct,microscopic_telemetry_status,microscopic_error
facebook/opt-350m,1024,64,8,pcie_async,212.79999613761905,1770.303988456726,724.9344110488892,54784,2048,baseline_nvml_pt,nvidia-smi,ok,True,7.0,109.0,1695.0,8001.0,63.42999999999999,1.840127944946289,36.20849609375,36.20849609375,0.05224609375,,,,unavailable,
facebook/opt-350m,1024,64,8,vram,182.2720021009445,1718.3295965194702,652.8960108757019,54784,2048,baseline_nvml_pt,nvidia-smi,ok,True,0.0,109.0,1695.0,7601.0,63.04,1.7398079633712769,36.20849609375,36.20849609375,0.05224609375,,,,unavailable,
facebook/opt-350m,1024,64,16,pcie_async,169.98399794101715,1811.238408088684,735.5776071548462,54784,2048,baseline_nvml_pt,nvidia-smi,ok,True,0.0,109.0,1695.0,7601.0,63.81,1.839104056358337,36.20849609375,36.20849609375,0.05224609375,,,,unavailable,
facebook/opt-350m,1024,64,16,vram,136.28800213336945,1808.7743759155273,639.5712018013,54784,2048,baseline_nvml_pt,nvidia-smi,ok,True,0.0,109.0,1695.0,7601.0,63.44,2.240511894226074,36.20849609375,36.20849609375,0.05224609375,,,,unavailable,
facebook/opt-350m,1024,64,24,pcie_async,144.3839967250824,1744.7360038757324,689.5936012268066,54784,2048,baseline_nvml_pt,nvidia-smi,ok,True,0.0,109.0,1695.0,7601.0,57.48,1.7592320442199707,36.20849609375,36.20849609375,0.05224609375,,,,unavailable,
facebook/opt-350m,1024,64,24,vram,152.63999998569489,1732.3263883590698,665.5807852745056,54784,2048,baseline_nvml_pt,nvidia-smi,ok,True,0.0,109.0,1695.0,7601.0,63.79,1.7612799406051636,36.20849609375,36.20849609375,0.05224609375,,,,unavailable,
facebook/opt-350m,1024,64,32,pcie_async,147.45600521564484,1788.5247945785522,661.0944032669067,54784,2048,baseline_nvml_pt,nvidia-smi,ok,True,0.0,109.0,1695.0,7601.0,63.220000000000006,2.061311960220337,36.20849609375,36.20849609375,0.05224609375,,,,unavailable,
facebook/opt-350m,1024,64,32,vram,166.97600483894348,1774.4895935058594,704.2943954467773,54784,2048,baseline_nvml_pt,nvidia-smi,ok,True,0.0,109.0,1695.0,7601.0,63.27,1.8452479839324951,36.20849609375,36.20849609375,0.05224609375,,,,unavailable,
facebook/opt-350m,1024,128,8,pcie_async,150.52799880504608,937.7216100692749,408.4671974182129,38400,2048,baseline_nvml_pt,nvidia-smi,ok,True,0.0,109.0,1695.0,7601.0,63.94,0.9502720236778261,36.19091796875,36.19091796875,0.03662109375,,,,unavailable,
facebook/opt-350m,1024,128,8,vram,141.05600118637085,896.0767984390259,396.3199973106384,38400,2048,baseline_nvml_pt,nvidia-smi,ok,True,1.0,109.0,1695.0,8001.0,63.98,0.907263994216919,36.19091796875,36.19091796875,0.03662109375,,,,unavailable,
facebook/opt-350m,1024,128,16,pcie_async,142.33599603176117,920.0255990028381,397.0624029636383,38400,2048,baseline_nvml_pt,nvidia-smi,ok,True,5.0,109.0,1695.0,7601.0,64.27,0.9277439713478088,36.19091796875,36.19091796875,0.03662109375,,,,unavailable,
facebook/opt-350m,1024,128,16,vram,180.4800033569336,929.2608022689819,414.89279866218567,38400,2048,baseline_nvml_pt,nvidia-smi,ok,True,5.0,109.0,1695.0,7601.0,63.4,0.9817600250244138,36.19091796875,36.19091796875,0.03662109375,,,,unavailable,
facebook/opt-350m,1024,128,24,pcie_async,142.11200177669525,922.8479981422424,421.88799381256104,38400,2048,baseline_nvml_pt,nvidia-smi,ok,True,1.0,109.0,1695.0,7601.0,63.36,0.9390079975128174,36.19091796875,36.19091796875,0.03662109375,,,,unavailable,
facebook/opt-350m,1024,128,24,vram,241.6640073060989,997.8943943977356,498.4064042568207,38400,2048,baseline_nvml_pt,nvidia-smi,ok,True,0.0,109.0,1695.0,7601.0,63.989999999999995,1.0762239694595337,36.19091796875,36.19091796875,0.03662109375,,,,unavailable,
