model_id,chunk_tokens,sequence_length,phase,mode,family,chunk_index,token_index,layer_index,atom_index,trace_interval_index,start_time_ms,end_time_ms,duration_ms,schema_version,experiment_type,scheduler,sm_utilization,sm_ran_quantized,sm_ai_available,atom_duration_ms_at_sm_ai,segment_progress_fraction
facebook/opt-350m,64,1024,prefill,prefill,prefill_gemm,0.0,,0,0,0,106695263.054431,106695263.161951,0.10751999914646149,ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,0.0,8,32,0.10751999914646149,1.0
facebook/opt-350m,64,1024,prefill,prefill,prefill_gemm,0.0,,0,1,0,106695263.161951,106695263.269471,0.10751999914646149,ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,0.0,8,32,0.10751999914646149,1.0
facebook/opt-350m,64,1024,prefill,prefill,prefill_gemm,0.0,,0,2,0,106695263.269471,106695263.376991,0.10751999914646149,ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,0.0,8,32,0.10751999914646149,1.0
facebook/opt-350m,64,1024,prefill,prefill,prefill_gemm,0.0,,0,3,0,106695263.376991,106695263.484511,0.10751999914646149,ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,0.0,8,32,0.10751999914646149,1.0
facebook/opt-350m,64,1024,prefill,prefill,prefill_gemm,0.0,,0,4,0,106695263.484511,106695263.592031,0.10751999914646149,ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,0.0,8,32,0.10751999914646149,1.0
facebook/opt-350m,64,1024,prefill,prefill,prefill_gemm,0.0,,0,5,0,106695263.592031,106695263.699551,0.10751999914646149,ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,0.0,8,32,0.10751999914646149,1.0
facebook/opt-350m,64,1024,prefill,prefill,prefill_gemm,0.0,,1,0,0,106695263.699551,106695263.807071,0.10751999914646149,ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,0.0,8,32,0.10751999914646149,1.0
facebook/opt-350m,64,1024,prefill,prefill,prefill_gemm,0.0,,1,1,0,106695263.807071,106695263.914591,0.10751999914646149,ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,0.0,8,32,0.10751999914646149,1.0
facebook/opt-350m,64,1024,prefill,prefill,prefill_gemm,0.0,,1,2,0,106695263.914591,106695264.022111,0.10751999914646149,ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,0.0,8,32,0.10751999914646149,1.0
facebook/opt-350m,64,1024,prefill,prefill,prefill_gemm,0.0,,1,3,0,106695264.022111,106695264.129631,0.10751999914646149,ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,0.0,8,32,0.10751999914646149,1.0
