model_id,chunk_tokens,op_type,op_name,sm_ai_partition,timed_iteration,duration_us,baseline_vram_bytes,peak_vram_bytes,dynamic_workspace_bytes,output_bytes
facebook/opt-350m,64,gemm,q_proj,32,0,107.51999914646149,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,k_proj,32,0,84.99199897050858,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,v_proj,32,0,75.77600330114365,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,out_proj,32,0,80.76799660921097,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,fc1,32,0,67.77600198984146,35801088,36325376,524288,524288
facebook/opt-350m,64,gemm,fc2,32,0,69.82400268316269,35801088,35932160,131072,131072
facebook/opt-350m,64,attention,attention,32,0,62.591999769210815,35801088,35937280,136192,131072
facebook/opt-350m,64,gemm,q_proj,32,1,73.82400333881378,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,k_proj,32,1,70.91200351715088,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,v_proj,32,1,68.60800087451935,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,out_proj,32,1,70.46400010585785,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,fc1,32,1,58.36800113320351,35801088,36325376,524288,524288
facebook/opt-350m,64,gemm,fc2,32,1,65.5359998345375,35801088,35932160,131072,131072
facebook/opt-350m,64,attention,attention,32,1,54.27199974656105,35801088,35937280,136192,131072
facebook/opt-350m,64,gemm,q_proj,32,2,73.72800260782242,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,k_proj,32,2,68.60800087451935,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,v_proj,32,2,75.96799731254578,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,out_proj,32,2,67.58400052785873,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,fc1,32,2,59.29600074887276,35801088,36325376,524288,524288
facebook/opt-350m,64,gemm,fc2,32,2,66.56000018119812,35801088,35932160,131072,131072
facebook/opt-350m,64,attention,attention,32,2,54.07999828457832,35801088,35937280,136192,131072
facebook/opt-350m,64,gemm,q_proj,32,3,71.84000313282013,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,k_proj,32,3,68.60800087451935,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,v_proj,32,3,69.60000097751617,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,out_proj,32,3,67.58400052785873,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,fc1,32,3,58.36800113320351,35801088,36325376,524288,524288
facebook/opt-350m,64,gemm,fc2,32,3,68.54400038719177,35801088,35932160,131072,131072
facebook/opt-350m,64,attention,attention,32,3,53.247999399900436,35801088,35937280,136192,131072
facebook/opt-350m,64,gemm,q_proj,32,4,70.72000205516815,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,k_proj,32,4,74.65600222349167,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,v_proj,32,4,66.65600091218948,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,out_proj,32,4,66.81600213050842,35801088,35932160,131072,131072
facebook/opt-350m,64,gemm,fc1,32,4,58.240000158548355,35801088,36325376,524288,524288
facebook/opt-350m,64,gemm,fc2,32,4,64.57599997520447,35801088,35932160,131072,131072
facebook/opt-350m,64,attention,attention,32,4,52.22399905323982,35801088,35937280,136192,131072
