model_id,sequence_length,block_size,op_type,op_name,sm_ai_partition,timed_iteration,duration_us,baseline_vram_bytes,peak_vram_bytes,dynamic_workspace_bytes,output_bytes
facebook/opt-6.7b,8192,64,gemv,q_proj,32,0,172.92800545692444,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,k_proj,32,0,127.83999741077423,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,v_proj,32,0,119.80800330638885,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,out_proj,32,0,110.59200018644333,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,fc1,32,0,272.4800109863281,545513472,545546240,32768,32768
facebook/opt-6.7b,8192,64,gemv,fc2,32,0,247.80799448490143,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,attention_fetch_compute,,32,0,12662.7836227417,545513472,546701312,1187840,1064960
facebook/opt-6.7b,8192,64,reduction_overhead,,32,0,4141.119956970215,546693120,546719232,26112,8192
facebook/opt-6.7b,8192,64,gemv,q_proj,32,1,125.95200538635254,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,k_proj,32,1,118.78400295972824,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,v_proj,32,1,117.50400066375732,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,out_proj,32,1,114.68800157308578,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,fc1,32,1,265.21599292755127,545513472,545546240,32768,32768
facebook/opt-6.7b,8192,64,gemv,fc2,32,1,252.9279887676239,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,attention_fetch_compute,,32,1,12479.488372802734,545513472,546701312,1187840,1064960
facebook/opt-6.7b,8192,64,reduction_overhead,,32,1,4162.559986114502,546693120,546719232,26112,8192
facebook/opt-6.7b,8192,64,gemv,q_proj,32,2,117.76000261306763,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,k_proj,32,2,108.51199924945831,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,v_proj,32,2,108.38399827480316,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,out_proj,32,2,108.5439994931221,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,fc1,32,2,258.04799795150757,545513472,545546240,32768,32768
facebook/opt-6.7b,8192,64,gemv,fc2,32,2,245.7599937915802,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,attention_fetch_compute,,32,2,12600.319862365723,545513472,546701312,1187840,1064960
facebook/opt-6.7b,8192,64,reduction_overhead,,32,2,4153.088092803955,546693120,546719232,26112,8192
facebook/opt-6.7b,8192,64,gemv,q_proj,32,3,118.78400295972824,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,k_proj,32,3,111.61600053310394,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,v_proj,32,3,110.59200018644333,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,out_proj,32,3,110.59200018644333,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,fc1,32,3,259.0720057487488,545513472,545546240,32768,32768
facebook/opt-6.7b,8192,64,gemv,fc2,32,3,246.68799340724945,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,attention_fetch_compute,,32,3,12772.319793701172,545513472,546701312,1187840,1064960
facebook/opt-6.7b,8192,64,reduction_overhead,,32,3,4165.6317710876465,546693120,546719232,26112,8192
facebook/opt-6.7b,8192,64,gemv,q_proj,32,4,117.76000261306763,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,k_proj,32,4,107.51999914646149,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,v_proj,32,4,106.49599879980087,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,out_proj,32,4,106.49599879980087,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,gemv,fc1,32,4,253.9519965648651,545513472,545546240,32768,32768
facebook/opt-6.7b,8192,64,gemv,fc2,32,4,241.66400730609894,545513472,545521664,8192,8192
facebook/opt-6.7b,8192,64,attention_fetch_compute,,32,4,12705.792427062988,545513472,546701312,1187840,1064960
facebook/opt-6.7b,8192,64,reduction_overhead,,32,4,4178.944110870361,546693120,546719232,26112,8192
