model_id,sequence_length,block_size,op_type,op_name,sm_ai_partition,timed_iteration,duration_us,baseline_vram_bytes,peak_vram_bytes,dynamic_workspace_bytes,output_bytes
facebook/opt-125m,2048,1024,gemv,q_proj,8,0,124.92799758911133,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,k_proj,8,0,87.93599903583527,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,v_proj,8,0,77.85599678754807,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,out_proj,8,0,89.08800035715103,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,fc1,8,0,82.68799632787704,29514240,29520384,6144,6144
facebook/opt-125m,2048,1024,gemv,fc2,8,0,74.75200295448303,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,attention_fetch_compute,,8,0,300.03198981285095,29514240,29615616,101376,3168
facebook/opt-125m,2048,1024,reduction_overhead,,8,0,193.53599846363068,29519360,29525504,6144,1536
facebook/opt-125m,2048,1024,gemv,q_proj,8,1,86.87999844551086,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,k_proj,8,1,74.75200295448303,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,v_proj,8,1,72.64000177383423,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,out_proj,8,1,70.65600156784058,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,fc1,8,1,73.95199686288834,29514240,29520384,6144,6144
facebook/opt-125m,2048,1024,gemv,fc2,8,1,71.68000191450119,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,attention_fetch_compute,,8,1,287.7439856529236,29514240,29615616,101376,3168
facebook/opt-125m,2048,1024,reduction_overhead,,8,1,190.46400487422943,29519360,29525504,6144,1536
facebook/opt-125m,2048,1024,gemv,q_proj,8,2,84.99199897050858,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,k_proj,8,2,72.7040022611618,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,v_proj,8,2,74.75200295448303,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,out_proj,8,2,71.68000191450119,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,fc1,8,2,72.7040022611618,29514240,29520384,6144,6144
facebook/opt-125m,2048,1024,gemv,fc2,8,2,72.7040022611618,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,attention_fetch_compute,,8,2,289.792001247406,29514240,29615616,101376,3168
facebook/opt-125m,2048,1024,reduction_overhead,,8,2,197.63199985027313,29519360,29525504,6144,1536
facebook/opt-125m,2048,1024,gemv,q_proj,8,3,78.84799689054489,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,k_proj,8,3,73.72800260782242,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,v_proj,8,3,75.77600330114365,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,out_proj,8,3,71.68000191450119,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,fc1,8,3,72.7040022611618,29514240,29520384,6144,6144
facebook/opt-125m,2048,1024,gemv,fc2,8,3,72.80000299215317,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,attention_fetch_compute,,8,3,286.46400570869446,29514240,29615616,101376,3168
facebook/opt-125m,2048,1024,reduction_overhead,,8,3,197.66399264335632,29519360,29525504,6144,1536
facebook/opt-125m,2048,1024,gemv,q_proj,8,4,79.8719972372055,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,k_proj,8,4,72.7040022611618,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,v_proj,8,4,71.68000191450119,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,out_proj,8,4,70.65600156784058,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,gemv,fc1,8,4,75.77600330114365,29514240,29520384,6144,6144
facebook/opt-125m,2048,1024,gemv,fc2,8,4,73.5040009021759,29514240,29515776,1536,1536
facebook/opt-125m,2048,1024,attention_fetch_compute,,8,4,297.08799719810486,29514240,29615616,101376,3168
facebook/opt-125m,2048,1024,reduction_overhead,,8,4,196.70400023460388,29519360,29525504,6144,1536
