model_id,sequence_length,block_size,op_type,op_name,sm_ai_partition,timed_iteration,duration_us,baseline_vram_bytes,peak_vram_bytes,dynamic_workspace_bytes,output_bytes
facebook/opt-350m,1024,1024,gemv,q_proj,8,0,121.85599654912949,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,k_proj,8,0,88.28800171613693,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,v_proj,8,0,80.83199709653854,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,out_proj,8,0,92.16000139713287,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,fc1,8,0,84.99199897050858,37910528,37918720,8192,8192
facebook/opt-350m,1024,1024,gemv,fc2,8,0,78.59200239181519,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,attention_fetch_compute,,8,0,184.54399704933167,37910528,38009344,98816,2112
facebook/opt-350m,1024,1024,reduction_overhead,,8,0,185.47199666500092,37913600,37921280,7680,2048
facebook/opt-350m,1024,1024,gemv,q_proj,8,1,81.66400343179703,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,k_proj,8,1,76.89599692821503,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,v_proj,8,1,73.72800260782242,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,out_proj,8,1,72.9919970035553,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,fc1,8,1,88.92799913883209,37910528,37918720,8192,8192
facebook/opt-350m,1024,1024,gemv,fc2,8,1,75.77600330114365,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,attention_fetch_compute,,8,1,180.38399517536163,37910528,38009344,98816,2112
facebook/opt-350m,1024,1024,reduction_overhead,,8,1,176.15999281406403,37913600,37921280,7680,2048
facebook/opt-350m,1024,1024,gemv,q_proj,8,2,84.99199897050858,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,k_proj,8,2,75.93599706888199,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,v_proj,8,2,75.77600330114365,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,out_proj,8,2,73.72800260782242,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,fc1,8,2,86.01599931716919,37910528,37918720,8192,8192
facebook/opt-350m,1024,1024,gemv,fc2,8,2,74.75200295448303,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,attention_fetch_compute,,8,2,177.15199291706085,37910528,38009344,98816,2112
facebook/opt-350m,1024,1024,reduction_overhead,,8,2,187.391996383667,37913600,37921280,7680,2048
facebook/opt-350m,1024,1024,gemv,q_proj,8,3,79.58400249481201,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,k_proj,8,3,73.85600358247757,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,v_proj,8,3,76.60800218582153,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,out_proj,8,3,73.56800138950348,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,fc1,8,3,75.74400305747986,37910528,37918720,8192,8192
facebook/opt-350m,1024,1024,gemv,fc2,8,3,111.61600053310394,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,attention_fetch_compute,,8,3,172.0000058412552,37910528,38009344,98816,2112
facebook/opt-350m,1024,1024,reduction_overhead,,8,3,169.98399794101715,37913600,37921280,7680,2048
facebook/opt-350m,1024,1024,gemv,q_proj,8,4,77.82399654388428,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,k_proj,8,4,73.69600236415863,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,v_proj,8,4,71.68000191450119,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,out_proj,8,4,71.68000191450119,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,fc1,8,4,78.84799689054489,37910528,37918720,8192,8192
facebook/opt-350m,1024,1024,gemv,fc2,8,4,75.77600330114365,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,attention_fetch_compute,,8,4,179.19999361038208,37910528,38009344,98816,2112
facebook/opt-350m,1024,1024,reduction_overhead,,8,4,171.00800573825836,37913600,37921280,7680,2048
