model_id,sequence_length,block_size,op_type,op_name,sm_ai_partition,timed_iteration,duration_us,baseline_vram_bytes,peak_vram_bytes,dynamic_workspace_bytes,output_bytes
facebook/opt-350m,1024,1024,gemv,q_proj,32,0,139.26400244235992,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,k_proj,32,0,92.16000139713287,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,v_proj,32,0,85.28000116348267,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,out_proj,32,0,86.01599931716919,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,fc1,32,0,94.36800330877304,37910528,37918720,8192,8192
facebook/opt-350m,1024,1024,gemv,fc2,32,0,83.83999764919281,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,attention_fetch_compute,,32,0,124.09599870443344,37910528,37978112,67584,67584
facebook/opt-350m,1024,1024,reduction_overhead,,32,0,20.576000213623047,37978112,37978112,0,2048
facebook/opt-350m,1024,1024,gemv,q_proj,32,1,84.06399935483932,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,k_proj,32,1,78.84799689054489,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,v_proj,32,1,84.06399935483932,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,out_proj,32,1,77.56800204515457,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,fc1,32,1,79.8719972372055,37910528,37918720,8192,8192
facebook/opt-350m,1024,1024,gemv,fc2,32,1,77.82399654388428,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,attention_fetch_compute,,32,1,123.90399724245071,37910528,37978112,67584,67584
facebook/opt-350m,1024,1024,reduction_overhead,,32,1,22.463999688625336,37978112,37978112,0,2048
facebook/opt-350m,1024,1024,gemv,q_proj,32,2,86.01599931716919,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,k_proj,32,2,77.82399654388428,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,v_proj,32,2,82.94399827718735,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,out_proj,32,2,77.82399654388428,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,fc1,32,2,79.8719972372055,37910528,37918720,8192,8192
facebook/opt-350m,1024,1024,gemv,fc2,32,2,75.77600330114365,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,attention_fetch_compute,,32,2,137.31199502944946,37910528,37978112,67584,67584
facebook/opt-350m,1024,1024,reduction_overhead,,32,2,20.479999482631683,37978112,37978112,0,2048
facebook/opt-350m,1024,1024,gemv,q_proj,32,3,82.94399827718735,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,k_proj,32,3,79.8719972372055,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,v_proj,32,3,76.80000364780426,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,out_proj,32,3,73.98399710655212,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,fc1,32,3,79.8719972372055,37910528,37918720,8192,8192
facebook/opt-350m,1024,1024,gemv,fc2,32,3,77.82399654388428,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,attention_fetch_compute,,32,3,119.87199634313583,37910528,37978112,67584,67584
facebook/opt-350m,1024,1024,reduction_overhead,,32,3,20.255999639630318,37978112,37978112,0,2048
facebook/opt-350m,1024,1024,gemv,q_proj,32,4,81.91999793052673,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,k_proj,32,4,77.82399654388428,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,v_proj,32,4,76.73600316047668,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,out_proj,32,4,85.15200018882751,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,gemv,fc1,32,4,84.99199897050858,37910528,37918720,8192,8192
facebook/opt-350m,1024,1024,gemv,fc2,32,4,75.77600330114365,37910528,37912576,2048,2048
facebook/opt-350m,1024,1024,attention_fetch_compute,,32,4,126.97599828243256,37910528,37978112,67584,67584
facebook/opt-350m,1024,1024,reduction_overhead,,32,4,19.360000267624855,37978112,37978112,0,2048
