schema_version,experiment_type,scheduler,model_id,chunk_tokens,sequence_length,weight_bytes,vram_ceiling_bytes,prefill_max_gemm_us,prefill_workspace_bytes,prefill_parked_activation_bytes,decode_max_gemv_us,attention_fetch_compute_us,reduction_overhead_us,pcie_exposed_us,survival_vram_bytes,decode_runway_bytes,decode_runway_tokens,ttft_ms,tpot_ms_vram,tpot_ms_pcie_async,trace_sha256,status,sm_ai_partitions_profiled,trace_sm_ran_tiers,trace_interval_count,trace_intervals_with_ai_budget,prefill_max_gemm_us_sm8,prefill_max_gemm_us_sm16,prefill_max_gemm_us_sm24,prefill_max_gemm_us_sm32,prefill_workspace_bytes_sm8,prefill_workspace_bytes_sm16,prefill_workspace_bytes_sm24,prefill_workspace_bytes_sm32,prefill_parked_activation_bytes_sm8,prefill_parked_activation_bytes_sm16,prefill_parked_activation_bytes_sm24,prefill_parked_activation_bytes_sm32,decode_max_gemv_us_vram_sm8,decode_max_gemv_us_vram_sm16,decode_max_gemv_us_vram_sm24,decode_max_gemv_us_vram_sm32,decode_max_gemv_us_pcie_async_sm8,decode_max_gemv_us_pcie_async_sm16,decode_max_gemv_us_pcie_async_sm24,decode_max_gemv_us_pcie_async_sm32,attention_fetch_compute_us_vram_sm8,attention_fetch_compute_us_vram_sm16,attention_fetch_compute_us_vram_sm24,attention_fetch_compute_us_vram_sm32,attention_fetch_compute_us_pcie_async_sm8,attention_fetch_compute_us_pcie_async_sm16,attention_fetch_compute_us_pcie_async_sm24,attention_fetch_compute_us_pcie_async_sm32,reduction_overhead_us_vram_sm8,reduction_overhead_us_vram_sm16,reduction_overhead_us_vram_sm24,reduction_overhead_us_vram_sm32,reduction_overhead_us_pcie_async_sm8,reduction_overhead_us_pcie_async_sm16,reduction_overhead_us_pcie_async_sm24,reduction_overhead_us_pcie_async_sm32,decode_workspace_bytes_vram_sm8,decode_workspace_bytes_vram_sm16,decode_workspace_bytes_vram_sm24,decode_workspace_bytes_vram_sm32,decode_workspace_bytes_pcie_async_sm8,decode_workspace_bytes_pcie_async_sm16,decode_workspace_bytes_pcie_async_sm24,decode_workspace_bytes_pcie_async_sm32,decode_parked_activation_bytes_vram_sm8,decode_parked_activation_bytes_vram_sm16,decode_parked_activation_bytes_vram_sm24,decode_parked_activation_bytes_vram_sm32,decode_parked_activation_bytes_pcie_async_sm8,decode_parked_activation_bytes_pcie_async_sm16,decode_parked_activation_bytes_pcie_async_sm24,decode_parked_activation_bytes_pcie_async_sm32,prefill_telemetry_tier,prefill_telemetry_provider,prefill_telemetry_status,prefill_nvml_available,prefill_gpu_util,prefill_gpu_mem_used_mb,prefill_sm_clock_mhz,prefill_mem_clock_mhz,prefill_power_w,prefill_pt_step_ms,prefill_pt_mem_alloc_mb,prefill_pt_mem_reserved_mb,prefill_pt_workspace_mb,prefill_acu_pct,prefill_gbu_pct,prefill_smu_pct,prefill_microscopic_telemetry_status,prefill_microscopic_error,decode_vram_telemetry_tier,decode_vram_telemetry_provider,decode_vram_telemetry_status,decode_vram_nvml_available,decode_vram_gpu_util,decode_vram_gpu_mem_used_mb,decode_vram_sm_clock_mhz,decode_vram_mem_clock_mhz,decode_vram_power_w,decode_vram_pt_step_ms,decode_vram_pt_mem_alloc_mb,decode_vram_pt_mem_reserved_mb,decode_vram_pt_workspace_mb,decode_vram_acu_pct,decode_vram_gbu_pct,decode_vram_smu_pct,decode_vram_microscopic_telemetry_status,decode_vram_microscopic_error,decode_pcie_async_telemetry_tier,decode_pcie_async_telemetry_provider,decode_pcie_async_telemetry_status,decode_pcie_async_nvml_available,decode_pcie_async_gpu_util,decode_pcie_async_gpu_mem_used_mb,decode_pcie_async_sm_clock_mhz,decode_pcie_async_mem_clock_mhz,decode_pcie_async_power_w,decode_pcie_async_pt_step_ms,decode_pcie_async_pt_mem_alloc_mb,decode_pcie_async_pt_mem_reserved_mb,decode_pcie_async_pt_workspace_mb,decode_pcie_async_acu_pct,decode_pcie_async_gbu_pct,decode_pcie_async_smu_pct,decode_pcie_async_microscopic_telemetry_status,decode_pcie_async_microscopic_error,pcie_telemetry_tier,pcie_telemetry_provider,pcie_telemetry_status,pcie_nvml_available,pcie_gpu_util,pcie_gpu_mem_used_mb,pcie_sm_clock_mhz,pcie_mem_clock_mhz,pcie_power_w,pcie_pt_step_ms,pcie_pt_mem_alloc_mb,pcie_pt_mem_reserved_mb,pcie_pt_workspace_mb,pcie_acu_pct,pcie_gbu_pct,pcie_smu_pct,pcie_microscopic_telemetry_status,pcie_microscopic_error,pcie_effective_gbps,pcie_overlap_status
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-1.3b,64,1024,2631516160,15170115993,454.65600490570057,1048576,1048576,745.4720139503477,599.4495987892151,88.52480053901672,1646.9727814197397,12536502681,12525877657,63709,1047.5274353027344,27.43280589580536,663.4023846387863,dfd15436012d53c39763689b0997a2491665034328d6e36a5856c6570bae3606,success,8|16|24|32,8|16|24|32|40|48,28378,24205,101.3759970664978,137.2160017490387,98.30400347709656,113.66400122642516,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,237.4079972505569,186.62400543689728,170.9119975566864,165.8879965543747,248.83200228214264,198.65599274635315,130.20800054073334,186.3680034875869,131.14879727363586,151.8911987543106,141.29279851913452,128.08319926261902,180.4159969091416,136.67199909687042,125.74080228805542,149.86239969730377,19.07839998602867,21.78560011088848,21.10080011188984,19.622399657964703,25.87519995868206,21.33759967982769,18.97600032389164,22.13120013475418,135168,135168,135168,135168,135168,135168,135168,135168,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,0.75,117.0,1695.0,7901.0,72.11999999999999,0.1126400008797645,108.16015625,108.16015625,1.0,81.18125780075195,60.473024561250334,72.8665772497979,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.0,117.0,1695.0,7701.0,71.435,0.1918879970908164,112.3125,112.3125,0.12890625,67.34793582362859,67.24254263353478,66.9903871723653,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.0,117.0,1695.0,7701.0,71.4225,0.1971519999206065,112.3125,112.3125,0.12890625,65.482084267298,72.50235710282172,63.9572587814246,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,1.0,117.0,1695.0,7601.0,71.48,,,,,65.0,65.0,65.0,estimated,,0.4948742641767291,measured
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-1.3b,64,2048,2631516160,15170115993,454.65600490570057,1048576,1048576,656.3839912414551,530.2271962165833,81.15199804306032,1646.9727814197397,12536502681,12525746585,63709,1047.5274353027344,26.003405213356015,1292.1731904745102,dfd15436012d53c39763689b0997a2491665034328d6e36a5856c6570bae3606,success,8|16|24|32,8|16|24|32|40|48,28378,24205,101.3759970664978,137.2160017490387,98.30400347709656,113.66400122642516,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,161.79199516773224,158.720001578331,297.9840040206909,156.67200088500977,183.2959949970245,152.41600573062897,184.4480037689209,164.09599781036377,123.03999960422516,126.44479870796204,128.71679961681366,124.9343991279602,124.51840043067932,128.88319790363312,126.3872042298317,132.5567990541458,19.436799734830856,19.67999972403049,19.07839961349964,18.50880011916161,19.82720009982586,19.705599918961525,18.905600160360336,20.28799951076508,266240,266240,266240,266240,266240,266240,266240,266240,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,0.75,117.0,1695.0,7901.0,72.11999999999999,0.1126400008797645,108.16015625,108.16015625,1.0,81.18125780075195,60.473024561250334,72.8665772497979,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,1.5,117.0,1695.0,7701.0,71.2775,0.1937920004129409,120.4375,120.4375,0.25390625,68.8408104511016,71.34926614491451,69.44051622982039,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,1.75,117.0,1695.0,7701.0,71.5175,0.17289599776268,120.4375,120.4375,0.25390625,64.14273220789843,78.84329994395041,65.36543130237433,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,1.0,117.0,1695.0,7601.0,71.48,,,,,65.0,65.0,65.0,estimated,,0.4948742641767291,measured
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-1.3b,64,4096,2631516160,15170115993,454.65600490570057,1048576,1048576,715.7760262489319,567.6543831825256,80.20479828119278,1646.9727814197397,12536502681,12525484441,63707,1047.5274353027344,26.21076464653015,2559.4052749872208,dfd15436012d53c39763689b0997a2491665034328d6e36a5856c6570bae3606,success,8|16|24|32,8|16|24|32|40|48,28378,24205,101.3759970664978,137.2160017490387,98.30400347709656,113.66400122642516,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,121.85599654912949,169.08800601959229,204.79999482631683,156.67200088500977,131.26400113105774,136.22400164604187,151.5520066022873,178.94400656223297,129.7791987657547,138.20800185203552,139.8783981800079,132.2495996952057,132.43520110845566,132.0959985256195,130.2207976579666,141.9135957956314,20.422400161623955,20.67839987576008,20.563199743628505,19.833599776029587,19.87199932336808,19.27680000662804,19.686399400234222,20.051199570298195,528384,528384,528384,528384,528384,528384,528384,528384,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,0.75,117.0,1695.0,7901.0,72.11999999999999,0.1126400008797645,108.16015625,108.16015625,1.0,81.18125780075195,60.473024561250334,72.8665772497979,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,2.0,117.0,1695.0,7701.0,71.1875,0.1669039987027644,136.6875,136.6875,0.50390625,70.33368507857463,75.45598965629424,71.89064528727549,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.0,117.0,1695.0,7701.0,71.3425,0.1540480032563209,136.6875,136.6875,0.50390625,62.80338014849889,85.1842427850791,66.77360382332405,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,1.0,117.0,1695.0,7601.0,71.48,,,,,65.0,65.0,65.0,estimated,,0.4948742641767291,measured
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-1.3b,64,8192,2631516160,15170115993,454.65600490570057,1048576,1048576,683.6479902267456,639.5392060279846,80.17919957637787,1646.9727814197397,12536502681,12524960153,63705,1047.5274353027344,28.924569368362427,5085.078760743141,dfd15436012d53c39763689b0997a2491665034328d6e36a5856c6570bae3606,success,8|16|24|32,8|16|24|32|40|48,28378,24205,101.3759970664978,137.2160017490387,98.30400347709656,113.66400122642516,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,147.45600521564484,168.96000504493713,143.327996134758,170.9119975566864,155.64799308776855,152.54400670528412,343.03998947143555,147.71200716495514,158.84159803390503,167.69279837608337,161.36960089206696,159.67359840869904,162.1439963579178,160.8000010251999,170.13760209083557,159.88480150699615,19.487999752163887,20.06400004029274,19.891199469566345,20.044799894094467,19.22559998929501,19.36000026762485,19.935999810695648,19.60960030555725,1052672,1052672,1052672,1052672,1052672,1052672,1052672,1052672,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,0.75,117.0,1695.0,7901.0,72.11999999999999,0.1126400008797645,108.16015625,108.16015625,1.0,81.18125780075195,60.473024561250334,72.8665772497979,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,3.75,117.0,1695.0,7601.0,70.81,0.170423999428749,169.1875,169.1875,1.00390625,71.82655970604766,79.56271316767395,74.3407743447306,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,3.75,117.0,1695.0,7601.0,70.9625,0.211711999028921,169.1875,169.1875,1.00390625,61.464028089099344,91.5251856262078,68.18177634427379,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,1.0,117.0,1695.0,7601.0,71.48,,,,,65.0,65.0,65.0,estimated,,0.4948742641767291,measured
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-1.3b,128,1024,2631516160,15170115993,462.3360037803649,2097152,2097152,634.880006313324,543.283212184906,87.296000123024,1933.4286689758155,12534405529,12513294745,63645,532.6110763549805,26.386022329330444,397.604020357132,dfd15436012d53c39763689b0997a2491665034328d6e36a5856c6570bae3606,success,8|16|24|32,8|16|24|32|40|48,28378,24205,113.47199976444244,113.66400122642516,114.68800157308578,115.58400094509123,2097152,2097152,2097152,2097152,2097152,2097152,2097152,2097152,164.86400365829468,167.93599724769592,175.10400712490082,158.720001578331,167.93599724769592,149.47199821472168,157.69599378108978,156.95999562740326,131.89119845628738,170.84799706935885,165.68959951400757,126.41279846429823,127.03359872102736,126.24000012874605,126.74560099840164,135.8208030462265,19.62880007922649,22.90560007095337,22.11839966475964,20.68479955196381,19.90399993956089,20.108799636363983,20.9087997674942,21.824000030756,135168,135168,135168,135168,135168,135168,135168,135168,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,1.75,117.0,1695.0,7701.0,72.07249999999999,0.114352000877261,111.16015625,111.16015625,2.0,85.81407225093993,57.12236608166712,76.15543633306385,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,2.25,117.0,1695.0,7701.0,71.38,0.2132319994270801,112.3125,112.3125,0.12890625,67.7004358236286,66.87379263353479,66.9903871723653,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.5,117.0,1695.0,7601.0,71.4325,0.1649039983749388,112.3125,112.3125,0.12890625,65.482084267298,72.08985710282172,63.9572587814246,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,117.0,1695.0,7601.0,71.42,,,,,65.0,65.0,65.0,estimated,,0.1760234654129595,measured
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-1.3b,128,2048,2631516160,15170115993,462.3360037803649,2097152,2097152,655.3599834442139,512.0000064373016,79.97440248727798,1933.4286689758155,12534405529,12513163673,63645,532.6110763549805,26.84989392757416,769.4757399559021,dfd15436012d53c39763689b0997a2491665034328d6e36a5856c6570bae3606,success,8|16|24|32,8|16|24|32|40|48,28378,24205,113.47199976444244,113.66400122642516,114.68800157308578,115.58400094509123,2097152,2097152,2097152,2097152,2097152,2097152,2097152,2097152,150.4960060119629,168.70400309562683,127.87200510501862,161.79199516773224,167.77600347995758,143.23200285434723,160.76800227165222,163.83999586105347,124.26880300045012,126.35519951581956,126.82880014181136,128.0000016093254,136.012801527977,124.89600032567978,133.5231989622116,124.51840043067932,20.057599619030952,19.45599988102913,19.85279954969883,19.993600621819496,20.01280039548874,19.87199932336808,19.50719989836216,19.07199993729592,266240,266240,266240,266240,266240,266240,266240,266240,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,1.75,117.0,1695.0,7701.0,72.07249999999999,0.114352000877261,111.16015625,111.16015625,2.0,85.81407225093993,57.12236608166712,76.15543633306385,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,3.0,117.0,1695.0,7701.0,71.3225,0.1537839993834495,120.4375,120.4375,0.25390625,69.42831045110161,71.47218281158118,69.67718289648707,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.25,117.0,1695.0,7701.0,71.3375,0.1599679999053477,120.4375,120.4375,0.25390625,64.14273220789843,79.25579994395042,65.587097969041,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,117.0,1695.0,7601.0,71.42,,,,,65.0,65.0,65.0,estimated,,0.1760234654129595,measured
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-1.3b,128,4096,2631516160,15170115993,462.3360037803649,2097152,2097152,774.1439938545227,573.9007949829102,85.19679903984068,1933.4286689758155,12534405529,12512901529,63643,532.6110763549805,31.823769450187683,1507.929656624794,dfd15436012d53c39763689b0997a2491665034328d6e36a5856c6570bae3606,success,8|16|24|32,8|16|24|32|40|48,28378,24205,113.47199976444244,113.66400122642516,114.68800157308578,115.58400094509123,2097152,2097152,2097152,2097152,2097152,2097152,2097152,2097152,143.19999516010284,140.57600498199463,133.12000036239624,193.53599846363068,172.19200730323792,119.6800023317337,156.67200088500977,134.14399325847626,129.96480017900467,127.2128000855446,132.8831970691681,143.47519874572754,134.94400084018707,129.38239872455597,135.73119938373566,135.56479811668396,19.699199497699738,19.04000006616116,19.680000096559525,21.29919975996017,20.102399587631226,19.462399557232857,20.90880014002323,20.25599963963032,528384,528384,528384,528384,528384,528384,528384,528384,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,1.75,117.0,1695.0,7701.0,72.07249999999999,0.114352000877261,111.16015625,111.16015625,2.0,85.81407225093993,57.12236608166712,76.15543633306385,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.0,117.0,1695.0,7901.0,71.55,0.1543920002877711,136.6875,136.6875,0.50390625,71.15618507857462,76.07057298962755,72.36397862060882,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,4.75,117.0,1695.0,7801.0,71.44,0.1571360006928443,136.6875,136.6875,0.50390625,62.80338014849889,86.42174278507912,67.21693715665738,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,117.0,1695.0,7601.0,71.42,,,,,65.0,65.0,65.0,estimated,,0.1760234654129595,measured
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-1.3b,128,8192,2631516160,15170115993,462.3360037803649,2097152,2097152,516.0959959030151,651.9807934761047,78.51519882678986,1933.4286689758155,12534405529,12512377241,63641,532.6110763549805,22.903910279273987,2992.1052289009094,dfd15436012d53c39763689b0997a2491665034328d6e36a5856c6570bae3606,success,8|16|24|32,8|16|24|32|40|48,28378,24205,113.47199976444244,113.66400122642516,114.68800157308578,115.58400094509123,2097152,2097152,2097152,2097152,2097152,2097152,2097152,2097152,154.62400019168854,130.91200590133667,191.48799777030945,129.02399897575378,158.720001578331,208.8959962129593,134.14399325847626,124.83199685811996,166.91199839115143,158.9055985212326,166.26559793949127,161.38240098953247,162.3423993587494,161.3312005996704,165.41440188884735,162.99519836902618,20.03839947283268,19.06559988856316,21.292800083756447,18.803200125694275,20.85759975016117,19.87839974462986,18.080000579357147,19.628799706697464,1052672,1052672,1052672,1052672,1052672,1052672,1052672,1052672,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,1.75,117.0,1695.0,7701.0,72.07249999999999,0.114352000877261,111.16015625,111.16015625,2.0,85.81407225093993,57.12236608166712,76.15543633306385,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.25,117.0,1695.0,7701.0,70.9725,0.1812480017542838,169.1875,169.1875,1.00390625,72.88405970604767,80.66896316767395,75.05077434473061,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,1.5,117.0,1695.0,7601.0,71.07249999999999,0.1824560016393661,169.1875,169.1875,1.00390625,61.464028089099344,93.5876856262078,68.84677634427379,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,117.0,1695.0,7601.0,71.42,,,,,65.0,65.0,65.0,estimated,,0.1760234654129595,measured
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-1.3b,256,1024,2631516160,15170115993,704.5120000839233,4194304,4194304,847.9999899864196,565.2480006217957,85.22239774465561,2626.355892419815,12530211225,12488128921,63517,405.79891204833984,34.430822253227234,282.57168889045715,dfd15436012d53c39763689b0997a2491665034328d6e36a5856c6570bae3606,success,8|16|24|32,8|16|24|32|40|48,28378,24205,182.559996843338,175.10400712490082,179.19999361038208,176.12800002098083,4194304,4194304,4194304,4194304,4194304,4194304,4194304,4194304,168.92799735069275,176.12800002098083,183.2959949970245,211.9999974966049,158.720001578331,167.87199676036835,158.720001578331,187.23200261592865,129.86239939928055,126.13120377063753,131.89120143651962,141.3120001554489,122.40639925003052,127.8656005859375,128.00640165805817,125.72160363197328,19.884799793362617,19.468799978494644,20.68479955196381,21.305599436163902,18.89920011162758,20.095999538898468,19.69279982149601,19.283199682831764,135168,135168,135168,135168,135168,135168,135168,135168,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,2.0,117.0,1695.0,7801.0,72.08500000000001,0.1782479993999004,117.16015625,117.16015625,4.0,90.44688670112792,53.77170760208389,79.44429541632982,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,1.75,117.0,1695.0,7801.0,71.485,0.1850879974663257,112.3125,112.3125,0.12890625,68.05293582362859,66.50504263353479,66.9903871723653,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,1.75,117.0,1695.0,7601.0,71.355,0.1681360006332397,112.3125,112.3125,0.12890625,65.482084267298,71.67735710282173,63.9572587814246,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,117.0,1695.0,7601.0,71.36,,,,,65.0,65.0,65.0,estimated,,1.269369049975127,measured
ran_dgxspark_v1,ran-dgxspark-v1,envelope_v1,facebook/opt-1.3b,256,2048,2631516160,15170115993,704.5120000839233,4194304,4194304,720.8960056304932,552.7552008628845,81.86880052089691,2626.355892419815,12530211225,12487997849,63517,405.79891204833984,29.76000022888184,533.6914715766907,dfd15436012d53c39763689b0997a2491665034328d6e36a5856c6570bae3606,success,8|16|24|32,8|16|24|32|40|48,28378,24205,182.559996843338,175.10400712490082,179.19999361038208,176.12800002098083,4194304,4194304,4194304,4194304,4194304,4194304,4194304,4194304,243.71199309825897,571.6480016708374,156.67200088500977,180.2240014076233,196.5440064668656,160.76800227165222,187.391996383667,179.19999361038208,223.5967993736267,186.7776036262512,133.1712007522583,138.18880021572113,127.97439992427826,123.05919975042345,127.11039781570436,131.01439774036407,26.182400062680244,26.412799954414368,20.396799966692924,20.467200130224228,18.72000023722649,19.097600132226944,20.27519941329956,20.08319944143296,266240,266240,266240,266240,266240,266240,266240,266240,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,2.0,117.0,1695.0,7801.0,72.08500000000001,0.1782479993999004,117.16015625,117.16015625,4.0,90.44688670112792,53.77170760208389,79.44429541632982,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,2.5,117.0,1695.0,7601.0,71.145,0.3402319997549056,120.4375,120.4375,0.25390625,70.01581045110161,71.59509947824783,69.91384956315373,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,2.75,117.0,1695.0,7701.0,71.4325,0.1809759996831416,120.4375,120.4375,0.25390625,64.14273220789843,79.66829994395042,65.80876463570766,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,117.0,1695.0,7601.0,71.36,,,,,65.0,65.0,65.0,estimated,,1.269369049975127,measured
